DATE,HIGHTEMP,LOWTEMP,HUMIDITY,DESCRIPTION
5/9/2018,-28,-45,12.2,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat
4/13/2021,83,98,76.88,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien
5/6/2021,-44,120,32.51,porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi
10/21/2021,112,114,87.86,cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam
2/12/2022,96,77,61.1,donec dapibus duis at velit eu est congue elementum in hac
11/4/2021,-27,1,52.55,diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo
6/6/2018,25,139,46.97,nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam
9/22/2021,110,53,93.45,nullam porttitor lacus at turpis donec posuere metus vitae ipsum
3/13/2022,73,117,25.18,ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla
4/15/2021,23,33,94.18,non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices
9/13/2019,13,98,48.08,velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque
6/16/2020,106,75,51.35,vel sem sed sagittis nam congue risus semper porta volutpat
5/25/2020,-48,27,89.59,curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros
11/21/2020,102,16,76.91,phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac
8/15/2021,130,-7,32.21,amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed
6/25/2018,-5,-46,76.49,cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere
9/18/2020,-20,-31,29.42,amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui
9/5/2021,-29,16,46.44,velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue
1/9/2019,-39,37,33.36,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in
1/7/2022,70,-45,96.81,sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum
3/3/2018,137,-40,4.32,consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar
12/2/2019,-23,139,93.67,tellus nisi eu orci mauris lacinia sapien quis libero nullam
1/7/2018,71,21,2.08,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a
1/31/2019,124,137,28.63,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac
11/4/2021,99,110,84.58,purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id
9/12/2020,0,21,70.34,ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
1/26/2019,95,134,75.55,molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam
12/5/2017,50,-14,19.12,semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor
12/4/2021,17,98,64.56,vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in
7/6/2018,116,28,16.85,sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris
3/7/2018,64,-44,85.07,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam
2/9/2022,84,107,69.97,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla
7/3/2021,-32,-43,99.06,id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra
4/8/2020,96,101,28.19,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus
5/20/2021,23,40,50.77,dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis
11/1/2017,129,-47,51.6,magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis
7/3/2018,34,76,65.98,in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce
8/20/2018,23,3,36.29,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam
7/13/2020,86,96,1.43,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean
3/14/2021,13,1,40.52,metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra
10/3/2018,51,-14,42.44,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id
3/20/2022,129,-31,86.83,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam
9/4/2018,-42,-22,4.83,turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor
8/21/2019,32,99,23.58,nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam
4/30/2018,-50,3,55.43,elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien
6/26/2019,-13,-49,16.22,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna
9/20/2021,140,19,57.24,quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec
9/6/2017,47,88,65.1,eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas
6/30/2020,-29,-19,74.51,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur
3/22/2021,29,109,74.63,libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus
7/22/2021,120,100,61.28,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero
1/13/2018,58,50,28.91,nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit
7/30/2021,97,108,26.63,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus
8/18/2018,84,124,83.67,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum
